Space Group,PBE Energy,PBESol Energy,HSE Energy
P2_1/c,0.0,0.0,0.0
Pbcn,0.19467000000000212,0.5150299999999959,0.26657000000000153
P2_1/m,0.3187499999999943,0.33858000000000743,0.3553699999999935
Pca2_1,0.3326099999999883,0.25271000000000754,0.30335999999999785
Pmn2_1,0.5668299999999817,0.48215999999999326,0.567530000000005
P4_2/nmc,0.658869999999979,0.5440800000000081,0.6330899999999815
P4/nbm,0.7725999999999829,0.6089200000000119,0.7170799999999815
P-43m,0.7986699999999871,0.625630000000001,0.737419999999986
R3,0.8537800000000004,0.776360000000011,0.853430000000003
Fm-3m,1.0444499999999834,0.8037099999999953,0.9276700000000062
