Space Group,PBE a,PBE b,PBE c,PBE alpha,PBE beta,PBE gamma,PBESol a,PBESol b,PBESol c,PBESol alpha,PBESol beta,PBESol gamma,HSE a,HSE b,HSE c,HSE alpha,HSE beta,HSE gamma
Fm-3m,5.078,5.078,5.078,90.0,90.0,90.0,5.0,5.0,5.0,90.0,90.0,90.0,5.033,5.033,5.033,90.0,90.0,90.0
P4_2/nmc,5.081,5.081,5.23,90.0,90.0,90.0,5.029,5.029,5.132,90.0,90.0,90.0,5.037,5.037,5.151,90.0,90.0,90.0
P2_1/c,5.145,5.198,5.328,90.0,99.67,90.0,5.084,5.164,5.249,90.0,99.66,90.0,5.108,5.154,5.277,90.0,99.62,90.0
P-43m,5.105,5.105,5.105,90.0,90.0,90.0,5.048,5.048,5.048,90.0,90.0,90.0,5.056,5.056,5.056,90.0,90.0,90.0
P4/nbm,5.122,5.122,5.083,90.0,90.0,90.0,5.061,5.061,5.029,90.0,90.0,90.0,5.071,5.071,5.036,90.0,90.0,90.0
P2_1/m,5.444,5.191,5.19,84.05,100.7,100.7,5.375,5.136,5.134,83.71,100.9,100.89,5.39,5.146,5.145,84.0,100.71,100.71
Pbcn,4.915,5.783,5.255,90.0,90.0,90.0,4.889,5.699,5.193,90.0,90.0,90.0,4.883,5.721,5.216,90.0,90.0,90.0
Pca2_1,5.272,5.054,5.084,90.0,90.0,90.0,5.209,5.005,5.028,90.0,90.0,90.0,5.22,5.015,5.04,90.0,90.0,90.0
Pmn2_1,5.126,5.184,5.126,90.0,84.25,90.0,5.085,5.112,5.081,90.0,83.74,90.0,5.085,5.131,5.085,90.0,84.26,90.0
R3,5.143,5.143,5.143,88.71,88.71,88.71,5.088,5.088,5.088,88.64,88.64,88.64,5.097,5.097,5.097,88.78,88.78,88.78
